title,link,price,rating,num_reviews
HONOR Pad X8a 4+128G Wi-Fi(with Flip Cover),/-/en/HONOR-128G-Wi-Fi-Flip-Cover/dp/B0DC6JBDFG,SAR 815.12,4.5,(685) 
"AGM PAD T2 Tablet Android 14, FHD 1920x1200 Display, 4GB RAM, 256GB ROM (TF 512GB),GPS/Type-C/8000mAh Battery/Dual SIM 4G LTE/5G Hz WIFI/Face ID",/-/en/AGM-PAD-T2-Android-1920x1200/dp/B0DGX4MK98,SAR 575.10,4.0,(46) 
"HUAWEI MatePad SE 11 4GB+128GB Kid Tablet, M-Pen lite, FullView Display，Large Capacity Battery，Kids Corner, 1-Year Amazon Exclusive Huawei Care+",/-/en/HUAWEI-FullView-Display%EF%BC%8CLarge-Battery%EF%BC%8CKids-Exclusive/dp/B0G9T81DGC,SAR 749.00,4.0,(5) 
"TABWEE T50 Android 16 Tablet 11 Inch, 24GB RAM (6+18GB Expandable) 128GB ROM (2TB TF), Octa-Core Gaming Tablet, 90Hz Eye-Care Screen, 8000mAh Battery, OTG Reverse Charge, Gemini AI, 4-Year Warranty",/-/en/TABWEE-T50-Expandable-Octa-Core-Eye-Care/dp/B0G2M446Z1,SAR 719.99,4.4,(29) 
"Microsoft Surface Pro 7 12.3 Inch Tablet (Platinum) - Intel 10th Generation Quad Core i5, 8GB RAM, 128GB SSD, Windows 10 Home, 2019 Edition",/-/en/Microsoft-Surface-12-3-Tablet-Platinum/dp/B07Y5M67K7,"SAR 1,575.88",4.4,(676) 
"Blackview Link 8, Wi-Fi, 256GB 6GB RAM, Cloudy Purple",/-/en/Blackview-Link-Wi-Fi-Cloudy-Purple/dp/B0G57M2Z6W,SAR 943.66,,
"Lenovo Idea Tab, 11 INCH, 2.5K, POLAR BLUE, MediaTek Dimensity 6300 OC, 8GB Ram, 256GB Storage, with Call Feature, 5G, 7040 mAh Battery, Keyboard Case and Pen, TB336ZU, ZAFM0356SA",/-/en/Lenovo-MediaTek-Dimensity-TB336ZU-ZAFM0356SA/dp/B0FLVW3ZVP,"SAR 1,399.00",2.5,(3) 
"Lenovo Idea Tab, 11 INCH, 2.5K, 2560x1600, LUNA GREY, MediaTek® Dimensity 6300 OC, 8GB Ram, 256GB Storage, with Call Feature, 5G, 7040 mAh Battery,with Folio Case and Pen, TB336ZU, ZAFM0656SA",/-/en/Lenovo-2560x1600-MediaTek%C2%AE-TB336ZU-ZAFM0656SA/dp/B0FLVW2J3G,"SAR 1,199.00",3.7,(4) 
"Tablet Lenovo ZAFR0389ES 11"" 8 GB RAM 128 GB Grey",/-/en/Tablet-Lenovo-ZAFR0389ES-RAM-Grey/dp/B0G6BS48TS,SAR 825.00,4.2,(31) 
"Lenovo Tab, 10-inch, LUNA GREY, MediaTek® G85 OC 2.0GHz, 4GB Ram, 128GB Storage, WIFI, 5100 mAh Battery, TB311FU,with Kids Bumper Case, ZAEH0086SA",/-/en/Lenovo-10-inch-MediaTek%C2%AE-TB311FU-ZAEH0086SA/dp/B0DQQ9DXTX,SAR 799.00,4.4,(11) 
"Samsung Galaxy Tab S10 Lite, 5G Android Tablet, Coralred, 8GB RAM, 256GB Storage, 10.9"" 90Hz Display, Long Battery Life (KSA Version)",/-/en/Samsung-Android-Coralred-Storage-Display/dp/B0FN47M7L5,,3.3,(3) 
"XIAOMI Poco Pad M1 Tablet WiFi 8GB 256GB 12.1"" Display 120Hz 12000mAh Black (with Charger)",/-/en/Poco-Pad-M1-Display-12000mAh/dp/B0GCDQY4P1,"SAR 1,407.41",,
Redmi Pad 2 9.7 Silver 4GB RAM 64GB WiFi Inbox Cover - Global Version,/-/en/Redmi-Silver-64GB-Inbox-Cover/dp/B0GXZLSLVY,SAR 611.00,,
"TCL Hera NXTPAPER 14 2.4K 8GB RAM 256GB ROM 10000mAh 14.3-Inch Android 14 Tablet with Flip Case, Grey",/-/en/TCL-NXTPAPER-10000mAh-14-3-Inch-Android/dp/B0FQ5VH3SH,"SAR 1,529.00",5.0,(2) 
"REDMAGIC Astra Gaming Tablet, 12GB RAM+256GB ROM, Snapdragon 8 Elite, 2.4K, OLED, 9.06'', Eclipse",/-/en/REDMAGIC-Gaming-Tablet-Snapdragon-Eclipse/dp/B0F8QH1KTX,"SAR 3,499.00",4.4,(114) 
"Samsung X210R Galaxy Tab A9+ 11"", Wi-Fi, 256GB 8GB RAM, Graphite",/-/en/Samsung-X210R-Galaxy-Wi-Fi-Graphite/dp/B0FC2KQGNJ,"SAR 1,405.11",4.7,(192) 
"ATOZEE 10 Inch Tablet, Android 14 Tablets 8GB RAM 64GB ROM 1024GB Expand Tableta 2MP+ 8MP Camera Bluetooth WiFi-6 Tablet Computer 10.1 in Tablet IPS 10"" HD Display 6000mAh Long Battery Life Tabletas",/-/en/ATOZEE-Android-Bluetooth-Computer-Tabletas/dp/B0DG4WDYY3,SAR 296.01,3.9,(170) 
